Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
centrosomal protein of 135 kDa [Homo sapiens],Homo sapiens,1573,1573,100%,0.0,100.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_079285.2?report=genbank&log$=prottop&blast_rank=22&RID=4U0A8D6Z01R"",""NP_079285.2"")"
centrosomal protein of 135 kDa isoform X1 [Rousettus aegyptiacus],Rousettus aegyptiacus,1572,1572,100%,0.0,89.56,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036083809.1?report=genbank&log$=prottop&blast_rank=23&RID=4U0A8D6Z01R"",""XP_036083809.1"")"
centrosomal protein of 135 kDa [Gorilla gorilla gorilla],Gorilla gorilla gorilla,1572,1572,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018881638.1?report=genbank&log$=prottop&blast_rank=24&RID=4U0A8D6Z01R"",""XP_018881638.1"")"
TPA: centrosome protein Cep135 [Homo sapiens],Homo sapiens,1571,1571,100%,0.0,99.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/DAA05590.1?report=genbank&log$=prottop&blast_rank=25&RID=4U0A8D6Z01R"",""DAA05590.1"")"
hypothetical protein PANDA_006550 [Ailuropoda melanoleuca],Ailuropoda melanoleuca,1571,1571,99%,0.0,90.69,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFB28072.1?report=genbank&log$=prottop&blast_rank=26&RID=4U0A8D6Z01R"",""EFB28072.1"")"
PREDICTED: centrosomal protein of 135 kDa [Rhinopithecus bieti],Rhinopithecus bieti,1570,1570,100%,0.0,97.28,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017704775.1?report=genbank&log$=prottop&blast_rank=27&RID=4U0A8D6Z01R"",""XP_017704775.1"")"
centrosomal protein of 135 kDa isoform X1 [Ailuropoda melanoleuca],Ailuropoda melanoleuca,1568,1568,99%,0.0,90.69,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034527656.1?report=genbank&log$=prottop&blast_rank=28&RID=4U0A8D6Z01R"",""XP_034527656.1"")"
centrosomal protein of 135 kDa [Pan paniscus],Pan paniscus,1568,1568,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003806528.1?report=genbank&log$=prottop&blast_rank=29&RID=4U0A8D6Z01R"",""XP_003806528.1"")"
centrosomal protein of 135 kDa isoform X1 [Pan troglodytes],Pan troglodytes,1568,1568,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016807193.1?report=genbank&log$=prottop&blast_rank=30&RID=4U0A8D6Z01R"",""XP_016807193.1"")"
centrosomal protein 135 [Molossus molossus],Molossus molossus,1568,1568,99%,0.0,89.29,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF6499455.1?report=genbank&log$=prottop&blast_rank=31&RID=4U0A8D6Z01R"",""KAF6499455.1"")"
LOW QUALITY PROTEIN: centrosomal protein of 135 kDa [Halichoerus grypus],Halichoerus grypus,1566,1566,100%,0.0,90.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035976654.1?report=genbank&log$=prottop&blast_rank=32&RID=4U0A8D6Z01R"",""XP_035976654.1"")"
PREDICTED: centrosomal protein of 135 kDa [Miniopterus natalensis],Miniopterus natalensis,1565,1565,99%,0.0,88.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016062925.1?report=genbank&log$=prottop&blast_rank=33&RID=4U0A8D6Z01R"",""XP_016062925.1"")"
centrosomal protein of 135 kDa [Phoca vitulina],Phoca vitulina,1565,1565,100%,0.0,90.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032256314.1?report=genbank&log$=prottop&blast_rank=34&RID=4U0A8D6Z01R"",""XP_032256314.1"")"
centrosomal protein of 135 kDa [Neomonachus schauinslandi],Neomonachus schauinslandi,1562,1562,100%,0.0,90.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021557298.1?report=genbank&log$=prottop&blast_rank=35&RID=4U0A8D6Z01R"",""XP_021557298.1"")"
centrosomal protein of 135 kDa [Zalophus californianus],Zalophus californianus,1561,1561,100%,0.0,90.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027456230.1?report=genbank&log$=prottop&blast_rank=36&RID=4U0A8D6Z01R"",""XP_027456230.1"")"
PREDICTED: centrosomal protein of 135 kDa [Odobenus rosmarus divergens],Odobenus rosmarus divergens,1561,1561,100%,0.0,90.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012423465.1?report=genbank&log$=prottop&blast_rank=37&RID=4U0A8D6Z01R"",""XP_012423465.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Chinchilla lanigera],Chinchilla lanigera,1560,1560,99%,0.0,88.58,1188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013374009.1?report=genbank&log$=prottop&blast_rank=38&RID=4U0A8D6Z01R"",""XP_013374009.1"")"
centrosomal protein of 135 kDa [Mirounga leonina],Mirounga leonina,1559,1559,100%,0.0,90.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034860826.1?report=genbank&log$=prottop&blast_rank=39&RID=4U0A8D6Z01R"",""XP_034860826.1"")"
PREDICTED: centrosomal protein of 135 kDa [Orycteropus afer afer],Orycteropus afer afer,1558,1558,100%,0.0,87.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007944424.1?report=genbank&log$=prottop&blast_rank=40&RID=4U0A8D6Z01R"",""XP_007944424.1"")"
centrosomal protein of 135 kDa [Hylobates moloch],Hylobates moloch,1556,1556,100%,0.0,97.72,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032007349.1?report=genbank&log$=prottop&blast_rank=41&RID=4U0A8D6Z01R"",""XP_032007349.1"")"
centrosomal protein of 135 kDa isoform X1 [Cebus imitator],Cebus imitator,1556,1556,100%,0.0,95.96,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017395707.1?report=genbank&log$=prottop&blast_rank=42&RID=4U0A8D6Z01R"",""XP_017395707.1"")"
centrosomal protein of 135 kDa isoform X1 [Sapajus apella],Sapajus apella,1556,1556,100%,0.0,96.05,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032130152.1?report=genbank&log$=prottop&blast_rank=43&RID=4U0A8D6Z01R"",""XP_032130152.1"")"
centrosomal protein of 135 kDa isoform X1 [Homo sapiens],Homo sapiens,1555,1555,100%,0.0,99.04,1129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006714118.1?report=genbank&log$=prottop&blast_rank=44&RID=4U0A8D6Z01R"",""XP_006714118.1"")"
centrosomal protein of 135 kDa [Aotus nancymaae],Aotus nancymaae,1555,1555,100%,0.0,95.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012296596.1?report=genbank&log$=prottop&blast_rank=45&RID=4U0A8D6Z01R"",""XP_012296596.1"")"
centrosomal protein of 135 kDa isoform X2 [Rousettus aegyptiacus],Rousettus aegyptiacus,1555,1555,100%,0.0,89.12,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036083810.1?report=genbank&log$=prottop&blast_rank=46&RID=4U0A8D6Z01R"",""XP_036083810.1"")"
centrosomal protein of 135 kDa [Callorhinus ursinus],Callorhinus ursinus,1554,1554,100%,0.0,90.53,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025743382.1?report=genbank&log$=prottop&blast_rank=47&RID=4U0A8D6Z01R"",""XP_025743382.1"")"
centrosomal protein of 135 kDa [Rhinolophus ferrumequinum],Rhinolophus ferrumequinum,1554,1554,99%,0.0,89.73,1138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032962638.1?report=genbank&log$=prottop&blast_rank=48&RID=4U0A8D6Z01R"",""XP_032962638.1"")"
PREDICTED: centrosomal protein of 135 kDa [Saimiri boliviensis boliviensis],,1552,1552,100%,0.0,96.23,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010342438.1?report=genbank&log$=prottop&blast_rank=49&RID=4U0A8D6Z01R"",""XP_010342438.1"")"
centrosomal protein of 135 kDa [Nomascus leucogenys],Nomascus leucogenys,1552,1552,100%,0.0,98.07,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003268443.1?report=genbank&log$=prottop&blast_rank=50&RID=4U0A8D6Z01R"",""XP_003268443.1"")"
centrosomal protein of 135 kDa isoform X2 [Loxodonta africana],Loxodonta africana,1551,1551,100%,0.0,88.16,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003415936.1?report=genbank&log$=prottop&blast_rank=51&RID=4U0A8D6Z01R"",""XP_003415936.1"")"
PREDICTED: centrosomal protein of 135 kDa [Panthera tigris altaica],Panthera tigris altaica,1551,1551,100%,0.0,90.35,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007075935.1?report=genbank&log$=prottop&blast_rank=52&RID=4U0A8D6Z01R"",""XP_007075935.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Myotis brandtii],Myotis brandtii,1551,1551,99%,0.0,89.03,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005877232.1?report=genbank&log$=prottop&blast_rank=53&RID=4U0A8D6Z01R"",""XP_005877232.1"")"
centrosomal protein of 135 kDa isoform X1 [Camelus dromedarius],Camelus dromedarius,1550,1550,99%,0.0,91.13,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010981366.1?report=genbank&log$=prottop&blast_rank=54&RID=4U0A8D6Z01R"",""XP_010981366.1"")"
centrosomal protein of 135 kDa [Sturnira hondurensis],Sturnira hondurensis,1549,1549,99%,0.0,87.97,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036890064.1?report=genbank&log$=prottop&blast_rank=55&RID=4U0A8D6Z01R"",""XP_036890064.1"")"
centrosomal protein of 135 kDa [Puma concolor],Puma concolor,1549,1549,100%,0.0,90.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025777647.1?report=genbank&log$=prottop&blast_rank=56&RID=4U0A8D6Z01R"",""XP_025777647.1"")"
PREDICTED: centrosomal protein of 135 kDa [Camelus bactrianus],Camelus bactrianus,1549,1549,99%,0.0,91.04,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010964402.1?report=genbank&log$=prottop&blast_rank=57&RID=4U0A8D6Z01R"",""XP_010964402.1"")"
centrosomal protein of 135 kDa isoform X1 [Mustela erminea],Mustela erminea,1549,1549,100%,0.0,90.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032190248.1?report=genbank&log$=prottop&blast_rank=58&RID=4U0A8D6Z01R"",""XP_032190248.1"")"
centrosomal protein of 135 kDa isoform X1 [Myotis lucifugus],Myotis lucifugus,1549,1549,99%,0.0,88.94,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023614066.1?report=genbank&log$=prottop&blast_rank=59&RID=4U0A8D6Z01R"",""XP_023614066.1"")"
centrosomal protein of 135 kDa [Artibeus jamaicensis],Artibeus jamaicensis,1549,1549,99%,0.0,88.32,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037018171.1?report=genbank&log$=prottop&blast_rank=60&RID=4U0A8D6Z01R"",""XP_037018171.1"")"
unnamed protein product [Gulo gulo],Gulo gulo,1549,1549,100%,0.0,89.74,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/VCX42860.1?report=genbank&log$=prottop&blast_rank=61&RID=4U0A8D6Z01R"",""VCX42860.1"")"
centrosomal protein of 135 kDa isoform X1 [Acinonyx jubatus],Acinonyx jubatus,1549,1549,100%,0.0,90.18,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026912950.1?report=genbank&log$=prottop&blast_rank=62&RID=4U0A8D6Z01R"",""XP_026912950.1"")"
centrosomal protein of 135 kDa [Lontra canadensis],Lontra canadensis,1549,1549,100%,0.0,89.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032707135.1?report=genbank&log$=prottop&blast_rank=63&RID=4U0A8D6Z01R"",""XP_032707135.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Mustela putorius furo],Mustela putorius furo,1549,1549,100%,0.0,89.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004775550.1?report=genbank&log$=prottop&blast_rank=64&RID=4U0A8D6Z01R"",""XP_004775550.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Myotis davidii],Myotis davidii,1548,1548,99%,0.0,89.03,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006757858.1?report=genbank&log$=prottop&blast_rank=65&RID=4U0A8D6Z01R"",""XP_006757858.1"")"
centrosomal protein of 135 kDa [Choloepus didactylus],Choloepus didactylus,1548,1548,100%,0.0,88.33,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037685784.1?report=genbank&log$=prottop&blast_rank=66&RID=4U0A8D6Z01R"",""XP_037685784.1"")"
centrosomal protein of 135 kDa [Desmodus rotundus],Desmodus rotundus,1548,1548,99%,0.0,89.03,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024435738.1?report=genbank&log$=prottop&blast_rank=67&RID=4U0A8D6Z01R"",""XP_024435738.1"")"
centrosomal protein of 135 kDa [Phyllostomus discolor],Phyllostomus discolor,1547,1547,99%,0.0,88.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028362407.1?report=genbank&log$=prottop&blast_rank=68&RID=4U0A8D6Z01R"",""XP_028362407.1"")"
centrosomal protein of 135 kDa isoform X1 [Fukomys damarensis],Fukomys damarensis,1547,1547,99%,0.0,89.81,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010638584.1?report=genbank&log$=prottop&blast_rank=69&RID=4U0A8D6Z01R"",""XP_010638584.1"")"
centrosomal protein of 135 kDa [Hyaena hyaena],Hyaena hyaena,1546,1546,100%,0.0,89.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_039104990.1?report=genbank&log$=prottop&blast_rank=70&RID=4U0A8D6Z01R"",""XP_039104990.1"")"
CP135 protein [Crocuta crocuta],Crocuta crocuta,1546,1546,100%,0.0,89.82,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0883251.1?report=genbank&log$=prottop&blast_rank=71&RID=4U0A8D6Z01R"",""KAF0883251.1"")"
centrosomal protein of 135 kDa [Talpa occidentalis],Talpa occidentalis,1546,1546,99%,0.0,88.76,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037385066.1?report=genbank&log$=prottop&blast_rank=72&RID=4U0A8D6Z01R"",""XP_037385066.1"")"
centrosomal protein of 135 kDa isoform X1 [Callithrix jacchus],Callithrix jacchus,1546,1546,100%,0.0,95.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008991570.1?report=genbank&log$=prottop&blast_rank=73&RID=4U0A8D6Z01R"",""XP_008991570.1"")"
centrosomal protein of 135 kDa [Odocoileus virginianus texanus],Odocoileus virginianus texanus,1546,1546,99%,0.0,87.80,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020747817.1?report=genbank&log$=prottop&blast_rank=74&RID=4U0A8D6Z01R"",""XP_020747817.1"")"
centrosomal protein of 135 kDa isoform X1 [Loxodonta africana],Loxodonta africana,1546,1546,100%,0.0,86.71,1159,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023410842.1?report=genbank&log$=prottop&blast_rank=75&RID=4U0A8D6Z01R"",""XP_023410842.1"")"
centrosomal protein of 135 kDa [Enhydra lutris kenyoni],Enhydra lutris kenyoni,1545,1545,100%,0.0,89.56,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022361573.1?report=genbank&log$=prottop&blast_rank=76&RID=4U0A8D6Z01R"",""XP_022361573.1"")"
centrosomal protein of 135 kDa isoform X1 [Myotis myotis],Myotis myotis,1544,1544,99%,0.0,88.94,1138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036190484.1?report=genbank&log$=prottop&blast_rank=77&RID=4U0A8D6Z01R"",""XP_036190484.1"")"
centrosomal protein of 135 kDa isoform X1 [Vicugna pacos],Vicugna pacos,1544,1544,99%,0.0,90.87,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006198206.1?report=genbank&log$=prottop&blast_rank=78&RID=4U0A8D6Z01R"",""XP_006198206.1"")"
centrosomal protein of 135 kDa isoform X1 [Felis catus],Felis catus,1544,1544,100%,0.0,90.09,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023108859.1?report=genbank&log$=prottop&blast_rank=79&RID=4U0A8D6Z01R"",""XP_023108859.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X2 [Chinchilla lanigera],Chinchilla lanigera,1544,1544,99%,0.0,88.14,1183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013374010.1?report=genbank&log$=prottop&blast_rank=80&RID=4U0A8D6Z01R"",""XP_013374010.1"")"
centrosomal protein of 135 kDa [Microcebus murinus],Microcebus murinus,1543,1543,100%,0.0,89.83,1141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012613710.1?report=genbank&log$=prottop&blast_rank=81&RID=4U0A8D6Z01R"",""XP_012613710.1"")"
centrosomal protein of 135 kDa [Carlito syrichta],Carlito syrichta,1543,1543,100%,0.0,92.02,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008058514.1?report=genbank&log$=prottop&blast_rank=82&RID=4U0A8D6Z01R"",""XP_008058514.1"")"
centrosomal protein of 135 kDa isoform X1 [Canis lupus dingo],Canis lupus dingo,1543,1543,100%,0.0,90.35,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025291376.2?report=genbank&log$=prottop&blast_rank=83&RID=4U0A8D6Z01R"",""XP_025291376.2"")"
centrosomal protein of 135 kDa isoform X1 [Lynx canadensis],Lynx canadensis,1542,1542,100%,0.0,90.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030169694.1?report=genbank&log$=prottop&blast_rank=84&RID=4U0A8D6Z01R"",""XP_030169694.1"")"
centrosomal protein of 135 kDa isoform X2 [Bubalus bubalis],Bubalus bubalis,1542,1542,99%,0.0,88.50,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025145816.1?report=genbank&log$=prottop&blast_rank=85&RID=4U0A8D6Z01R"",""XP_025145816.1"")"
centrosomal protein of 135 kDa isoform X1 [Canis lupus familiaris],Canis lupus familiaris,1542,1542,100%,0.0,90.26,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_038282802.1?report=genbank&log$=prottop&blast_rank=86&RID=4U0A8D6Z01R"",""XP_038282802.1"")"
PREDICTED: centrosomal protein of 135 kDa [Bison bison bison],Bison bison bison,1541,1541,99%,0.0,88.32,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010857967.1?report=genbank&log$=prottop&blast_rank=87&RID=4U0A8D6Z01R"",""XP_010857967.1"")"
PREDICTED: centrosomal protein of 135 kDa [Oryctolagus cuniculus],Oryctolagus cuniculus,1541,1541,100%,0.0,89.74,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017203029.1?report=genbank&log$=prottop&blast_rank=88&RID=4U0A8D6Z01R"",""XP_017203029.1"")"
PREDICTED: centrosomal protein of 135 kDa [Bos mutus],Bos mutus,1541,1541,99%,0.0,88.24,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005899111.1?report=genbank&log$=prottop&blast_rank=89&RID=4U0A8D6Z01R"",""XP_005899111.1"")"
centrosomal protein of 135 kDa isoform X1 [Pipistrellus kuhlii],Pipistrellus kuhlii,1540,1540,99%,0.0,87.62,1141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036271622.1?report=genbank&log$=prottop&blast_rank=90&RID=4U0A8D6Z01R"",""XP_036271622.1"")"
centrosomal protein of 135 kDa isoform X1 [Bos taurus],Bos taurus,1540,1540,99%,0.0,86.08,1164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024848906.1?report=genbank&log$=prottop&blast_rank=91&RID=4U0A8D6Z01R"",""XP_024848906.1"")"
