Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
centrosomal protein of 135 kDa isoform X2 [Trachypithecus francoisi],Trachypithecus francoisi,2233,2233,100%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033070507.1?report=genbank&log$=prottop&blast_rank=15&RID=4TYYNHNK01R"",""XP_033070507.1"")"
centrosomal protein of 135 kDa [Hylobates moloch],Hylobates moloch,2231,2231,100%,0.0,97.72,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032007349.1?report=genbank&log$=prottop&blast_rank=16&RID=4TYYNHNK01R"",""XP_032007349.1"")"
centrosomal protein of 135 kDa isoform X1 [Piliocolobus tephrosceles],Piliocolobus tephrosceles,2231,2231,100%,0.0,97.47,1146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023047955.1?report=genbank&log$=prottop&blast_rank=17&RID=4TYYNHNK01R"",""XP_023047955.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Cercocebus atys],Cercocebus atys,2231,2231,100%,0.0,97.81,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011928886.1?report=genbank&log$=prottop&blast_rank=18&RID=4TYYNHNK01R"",""XP_011928886.1"")"
centrosomal protein of 135 kDa [Chlorocebus sabaeus],Chlorocebus sabaeus,2230,2230,99%,0.0,98.15,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007996841.2?report=genbank&log$=prottop&blast_rank=19&RID=4TYYNHNK01R"",""XP_007996841.2"")"
centrosomal protein of 135 kDa isoform X2 [Pan troglodytes],Pan troglodytes,2227,2227,100%,0.0,97.89,1123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016807194.1?report=genbank&log$=prottop&blast_rank=20&RID=4TYYNHNK01R"",""XP_016807194.1"")"
centrosomal protein of 135 kDa isoform X1 [Trachypithecus francoisi],Trachypithecus francoisi,2225,2225,100%,0.0,97.47,1146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033070506.1?report=genbank&log$=prottop&blast_rank=21&RID=4TYYNHNK01R"",""XP_033070506.1"")"
centrosomal protein of 135 kDa isoform X3 [Pan troglodytes],Pan troglodytes,2219,2219,100%,0.0,97.54,1118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016807195.1?report=genbank&log$=prottop&blast_rank=22&RID=4TYYNHNK01R"",""XP_016807195.1"")"
PREDICTED: centrosomal protein of 135 kDa [Rhinopithecus bieti],Rhinopithecus bieti,2219,2219,100%,0.0,97.28,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017704775.1?report=genbank&log$=prottop&blast_rank=23&RID=4TYYNHNK01R"",""XP_017704775.1"")"
centrosomal protein of 135 kDa isoform X1 [Sapajus apella],Sapajus apella,2173,2173,100%,0.0,96.05,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032130152.1?report=genbank&log$=prottop&blast_rank=24&RID=4TYYNHNK01R"",""XP_032130152.1"")"
centrosomal protein of 135 kDa isoform X1 [Cebus imitator],Cebus imitator,2170,2170,100%,0.0,95.96,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017395707.1?report=genbank&log$=prottop&blast_rank=25&RID=4TYYNHNK01R"",""XP_017395707.1"")"
centrosomal protein of 135 kDa isoform X1 [Callithrix jacchus],Callithrix jacchus,2160,2160,100%,0.0,95.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008991570.1?report=genbank&log$=prottop&blast_rank=26&RID=4TYYNHNK01R"",""XP_008991570.1"")"
centrosomal protein of 135 kDa [Aotus nancymaae],Aotus nancymaae,2160,2160,100%,0.0,95.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012296596.1?report=genbank&log$=prottop&blast_rank=27&RID=4TYYNHNK01R"",""XP_012296596.1"")"
PREDICTED: centrosomal protein of 135 kDa [Saimiri boliviensis boliviensis],Saimiri boliviensis boliviensis,2154,2154,100%,0.0,96.23,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010342438.1?report=genbank&log$=prottop&blast_rank=28&RID=4TYYNHNK01R"",""XP_010342438.1"")"
hypothetical protein EGM_14494 [Macaca fascicularis],Macaca fascicularis,2112,2112,100%,0.0,93.78,1141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EHH53793.1?report=genbank&log$=prottop&blast_rank=29&RID=4TYYNHNK01R"",""EHH53793.1"")"
centrosomal protein of 135 kDa [Carlito syrichta],Carlito syrichta,2107,2107,100%,0.0,92.02,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008058514.1?report=genbank&log$=prottop&blast_rank=30&RID=4TYYNHNK01R"",""XP_008058514.1"")"
PREDICTED: centrosomal protein of 135 kDa [Equus przewalskii],Equus przewalskii,2087,2087,99%,0.0,91.22,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008510991.1?report=genbank&log$=prottop&blast_rank=31&RID=4TYYNHNK01R"",""XP_008510991.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Equus asinus],Equus asinus,2086,2086,99%,0.0,91.13,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014691286.1?report=genbank&log$=prottop&blast_rank=32&RID=4TYYNHNK01R"",""XP_014691286.1"")"
centrosomal protein of 135 kDa isoform X2 [Equus caballus],Equus caballus,2086,2086,99%,0.0,91.13,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023493838.1?report=genbank&log$=prottop&blast_rank=33&RID=4TYYNHNK01R"",""XP_023493838.1"")"
centrosomal protein of 135 kDa isoform X1 [Equus caballus],Equus caballus,2077,2077,99%,0.0,90.18,1151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023493835.1?report=genbank&log$=prottop&blast_rank=34&RID=4TYYNHNK01R"",""XP_023493835.1"")"
PREDICTED: centrosomal protein of 135 kDa [Ursus maritimus],Ursus maritimus,2075,2075,100%,0.0,90.79,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008699712.1?report=genbank&log$=prottop&blast_rank=35&RID=4TYYNHNK01R"",""XP_008699712.1"")"
PREDICTED: centrosomal protein of 135 kDa [Odobenus rosmarus divergens],Odobenus rosmarus divergens,2072,2072,100%,0.0,90.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012423465.1?report=genbank&log$=prottop&blast_rank=36&RID=4TYYNHNK01R"",""XP_012423465.1"")"
hypothetical protein PANDA_006550 [Ailuropoda melanoleuca],Ailuropoda melanoleuca,2072,2072,99%,0.0,90.69,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFB28072.1?report=genbank&log$=prottop&blast_rank=37&RID=4TYYNHNK01R"",""EFB28072.1"")"
centrosomal protein of 135 kDa isoform X1 [Ailuropoda melanoleuca],Ailuropoda melanoleuca,2072,2072,99%,0.0,90.69,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034527656.1?report=genbank&log$=prottop&blast_rank=38&RID=4TYYNHNK01R"",""XP_034527656.1"")"
centrosomal protein of 135 kDa isoform X1 [Pteropus vampyrus],Pteropus vampyrus,2071,2071,100%,0.0,90.26,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011360921.1?report=genbank&log$=prottop&blast_rank=39&RID=4TYYNHNK01R"",""XP_011360921.1"")"
centrosomal protein of 135 kDa isoform X1 [Pteropus alecto],Pteropus alecto,2071,2071,100%,0.0,90.18,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006922577.1?report=genbank&log$=prottop&blast_rank=40&RID=4TYYNHNK01R"",""XP_006922577.1"")"
PREDICTED: centrosomal protein of 135 kDa [Panthera tigris altaica],Panthera tigris altaica,2070,2070,99%,0.0,90.59,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007075935.1?report=genbank&log$=prottop&blast_rank=41&RID=4TYYNHNK01R"",""XP_007075935.1"")"
LOW QUALITY PROTEIN: centrosomal protein of 135 kDa [Halichoerus grypus],Halichoerus grypus,2070,2070,100%,0.0,90.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035976654.1?report=genbank&log$=prottop&blast_rank=42&RID=4TYYNHNK01R"",""XP_035976654.1"")"
centrosomal protein of 135 kDa [Phoca vitulina],Phoca vitulina,2070,2070,100%,0.0,90.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032256314.1?report=genbank&log$=prottop&blast_rank=43&RID=4TYYNHNK01R"",""XP_032256314.1"")"
Centrosomal protein of 135 kDa [Pteropus alecto],Pteropus alecto,2070,2070,100%,0.0,90.18,1166,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ELK03683.1?report=genbank&log$=prottop&blast_rank=44&RID=4TYYNHNK01R"",""ELK03683.1"")"
centrosomal protein of 135 kDa [Zalophus californianus],Zalophus californianus,2068,2068,100%,0.0,90.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027456230.1?report=genbank&log$=prottop&blast_rank=45&RID=4TYYNHNK01R"",""XP_027456230.1"")"
centrosomal protein of 135 kDa isoform X1 [Canis lupus dingo],Canis lupus dingo,2068,2068,99%,0.0,90.59,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025291376.2?report=genbank&log$=prottop&blast_rank=46&RID=4TYYNHNK01R"",""XP_025291376.2"")"
centrosomal protein of 135 kDa isoform X1 [Acinonyx jubatus],Acinonyx jubatus,2067,2067,99%,0.0,90.41,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026912950.1?report=genbank&log$=prottop&blast_rank=47&RID=4TYYNHNK01R"",""XP_026912950.1"")"
centrosomal protein of 135 kDa isoform X1 [Canis lupus familiaris],Canis lupus familiaris,2066,2066,99%,0.0,90.50,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_038282802.1?report=genbank&log$=prottop&blast_rank=48&RID=4TYYNHNK01R"",""XP_038282802.1"")"
centrosomal protein of 135 kDa [Neomonachus schauinslandi],Neomonachus schauinslandi,2065,2065,100%,0.0,90.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021557298.1?report=genbank&log$=prottop&blast_rank=49&RID=4TYYNHNK01R"",""XP_021557298.1"")"
centrosomal protein of 135 kDa isoform X1 [Felis catus],Felis catus,2065,2065,99%,0.0,90.33,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023108859.1?report=genbank&log$=prottop&blast_rank=50&RID=4TYYNHNK01R"",""XP_023108859.1"")"
centrosomal protein of 135 kDa isoform X1 [Camelus dromedarius],Camelus dromedarius,2064,2064,99%,0.0,91.13,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010981366.1?report=genbank&log$=prottop&blast_rank=51&RID=4TYYNHNK01R"",""XP_010981366.1"")"
PREDICTED: centrosomal protein of 135 kDa [Camelus bactrianus],Camelus bactrianus,2063,2063,99%,0.0,91.04,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010964402.1?report=genbank&log$=prottop&blast_rank=52&RID=4TYYNHNK01R"",""XP_010964402.1"")"
centrosomal protein of 135 kDa isoform X1 [Vulpes vulpes],Vulpes vulpes,2063,2063,99%,0.0,90.59,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025859365.1?report=genbank&log$=prottop&blast_rank=53&RID=4TYYNHNK01R"",""XP_025859365.1"")"
centrosomal protein of 135 kDa [Puma concolor],Puma concolor,2062,2062,99%,0.0,90.24,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025777647.1?report=genbank&log$=prottop&blast_rank=54&RID=4TYYNHNK01R"",""XP_025777647.1"")"
centrosomal protein of 135 kDa [Mirounga leonina],Mirounga leonina,2062,2062,100%,0.0,90.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034860826.1?report=genbank&log$=prottop&blast_rank=55&RID=4TYYNHNK01R"",""XP_034860826.1"")"
centrosomal protein of 135 kDa isoform X1 [Lynx canadensis],Lynx canadensis,2061,2061,99%,0.0,90.24,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030169694.1?report=genbank&log$=prottop&blast_rank=56&RID=4TYYNHNK01R"",""XP_030169694.1"")"
centrosomal protein of 135 kDa [Lontra canadensis],Lontra canadensis,2059,2059,100%,0.0,89.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032707135.1?report=genbank&log$=prottop&blast_rank=57&RID=4TYYNHNK01R"",""XP_032707135.1"")"
centrosomal protein of 135 kDa isoform X1 [Vicugna pacos],Vicugna pacos,2058,2058,99%,0.0,90.87,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006198206.1?report=genbank&log$=prottop&blast_rank=58&RID=4TYYNHNK01R"",""XP_006198206.1"")"
centrosomal protein of 135 kDa [Hyaena hyaena],Hyaena hyaena,2058,2058,99%,0.0,90.15,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_039104990.1?report=genbank&log$=prottop&blast_rank=59&RID=4TYYNHNK01R"",""XP_039104990.1"")"
centrosomal protein of 135 kDa isoform X1 [Rousettus aegyptiacus],Rousettus aegyptiacus,2058,2058,100%,0.0,89.56,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036083809.1?report=genbank&log$=prottop&blast_rank=60&RID=4TYYNHNK01R"",""XP_036083809.1"")"
centrosomal protein of 135 kDa isoform X1 [Mustela erminea],Mustela erminea,2056,2056,100%,0.0,90.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032190248.1?report=genbank&log$=prottop&blast_rank=61&RID=4TYYNHNK01R"",""XP_032190248.1"")"
CP135 protein [Crocuta crocuta],Crocuta crocuta,2056,2056,99%,0.0,90.06,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0883251.1?report=genbank&log$=prottop&blast_rank=62&RID=4TYYNHNK01R"",""KAF0883251.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Mustela putorius furo],Mustela putorius furo,2055,2055,100%,0.0,89.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004775550.1?report=genbank&log$=prottop&blast_rank=63&RID=4TYYNHNK01R"",""XP_004775550.1"")"
unnamed protein product [Gulo gulo],Gulo gulo,2055,2055,100%,0.0,89.74,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/VCX42860.1?report=genbank&log$=prottop&blast_rank=64&RID=4TYYNHNK01R"",""VCX42860.1"")"
centrosomal protein of 135 kDa [Microcebus murinus],Microcebus murinus,2052,2052,100%,0.0,89.83,1141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012613710.1?report=genbank&log$=prottop&blast_rank=65&RID=4TYYNHNK01R"",""XP_012613710.1"")"
centrosomal protein of 135 kDa isoform X1 [Balaenoptera musculus],Balaenoptera musculus,2051,2051,99%,0.0,89.55,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036709916.1?report=genbank&log$=prottop&blast_rank=66&RID=4TYYNHNK01R"",""XP_036709916.1"")"
centrosomal protein of 135 kDa [Enhydra lutris kenyoni],Enhydra lutris kenyoni,2051,2051,100%,0.0,89.56,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022361573.1?report=genbank&log$=prottop&blast_rank=67&RID=4TYYNHNK01R"",""XP_022361573.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X2 [Cercocebus atys],Cercocebus atys,2048,2048,92%,0.0,97.72,1051,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011928888.1?report=genbank&log$=prottop&blast_rank=68&RID=4TYYNHNK01R"",""XP_011928888.1"")"
centrosomal protein of 135 kDa [Rhinolophus ferrumequinum],Rhinolophus ferrumequinum,2048,2048,99%,0.0,89.73,1138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032962638.1?report=genbank&log$=prottop&blast_rank=69&RID=4TYYNHNK01R"",""XP_032962638.1"")"
centrosomal protein 135 [Molossus molossus],Molossus molossus,2047,2047,99%,0.0,89.29,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF6499455.1?report=genbank&log$=prottop&blast_rank=70&RID=4TYYNHNK01R"",""KAF6499455.1"")"
centrosomal protein of 135 kDa [Callorhinus ursinus],Callorhinus ursinus,2045,2045,100%,0.0,90.53,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025743382.1?report=genbank&log$=prottop&blast_rank=71&RID=4TYYNHNK01R"",""XP_025743382.1"")"
centrosomal protein of 135 kDa [Tupaia chinensis],Tupaia chinensis,2042,2042,100%,0.0,90.26,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006167755.1?report=genbank&log$=prottop&blast_rank=72&RID=4TYYNHNK01R"",""XP_006167755.1"")"
centrosomal protein of 135 kDa isoform X2 [Rousettus aegyptiacus],Rousettus aegyptiacus,2041,2041,100%,0.0,89.12,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036083810.1?report=genbank&log$=prottop&blast_rank=73&RID=4TYYNHNK01R"",""XP_036083810.1"")"
centrosomal protein of 135 kDa [Talpa occidentalis],Talpa occidentalis,2039,2039,99%,0.0,88.76,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037385066.1?report=genbank&log$=prottop&blast_rank=74&RID=4TYYNHNK01R"",""XP_037385066.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Myotis brandtii],Myotis brandtii,2038,2038,99%,0.0,89.03,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005877232.1?report=genbank&log$=prottop&blast_rank=75&RID=4TYYNHNK01R"",""XP_005877232.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Myotis davidii],Myotis davidii,2038,2038,99%,0.0,89.03,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006757858.1?report=genbank&log$=prottop&blast_rank=76&RID=4TYYNHNK01R"",""XP_006757858.1"")"
centrosomal protein of 135 kDa isoform X1 [Delphinapterus leucas],Delphinapterus leucas,2037,2037,99%,0.0,89.73,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022419470.1?report=genbank&log$=prottop&blast_rank=77&RID=4TYYNHNK01R"",""XP_022419470.1"")"
centrosomal protein of 135 kDa isoform X1 [Myotis lucifugus],Myotis lucifugus,2037,2037,99%,0.0,88.94,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023614066.1?report=genbank&log$=prottop&blast_rank=78&RID=4TYYNHNK01R"",""XP_023614066.1"")"
centrosomal protein of 135 kDa isoform X1 [Monodon monoceros],Monodon monoceros,2037,2037,99%,0.0,89.73,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029091811.1?report=genbank&log$=prottop&blast_rank=79&RID=4TYYNHNK01R"",""XP_029091811.1"")"
PREDICTED: centrosomal protein of 135 kDa [Lipotes vexillifer],Lipotes vexillifer,2036,2036,99%,0.0,89.82,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007450322.1?report=genbank&log$=prottop&blast_rank=80&RID=4TYYNHNK01R"",""XP_007450322.1"")"
centrosomal protein of 135 kDa isoform X1 [Fukomys damarensis],Fukomys damarensis,2033,2033,99%,0.0,89.81,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010638584.1?report=genbank&log$=prottop&blast_rank=81&RID=4TYYNHNK01R"",""XP_010638584.1"")"
centrosomal protein of 135 kDa isoform X1 [Orcinus orca],Orcinus orca,2032,2032,99%,0.0,89.55,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004268305.1?report=genbank&log$=prottop&blast_rank=82&RID=4TYYNHNK01R"",""XP_004268305.1"")"
hypothetical protein DBR06_SOUSAS6810026 [Sousa chinensis],Sousa chinensis,2030,2030,99%,0.0,89.46,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TEA42125.1?report=genbank&log$=prottop&blast_rank=83&RID=4TYYNHNK01R"",""TEA42125.1"")"
centrosomal protein of 135 kDa isoform X1 [Globicephala melas],Globicephala melas,2028,2028,99%,0.0,89.38,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030736466.1?report=genbank&log$=prottop&blast_rank=84&RID=4TYYNHNK01R"",""XP_030736466.1"")"
centrosomal protein of 135 kDa isoform X1 [Myotis myotis],Myotis myotis,2028,2028,99%,0.0,88.94,1138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036190484.1?report=genbank&log$=prottop&blast_rank=85&RID=4TYYNHNK01R"",""XP_036190484.1"")"
centrosomal protein of 135 kDa isoform X1 [Neophocaena asiaeorientalis asiaeorientalis],Neophocaena asiaeorientalis asiaeorientalis,2027,2027,99%,0.0,89.46,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024602507.1?report=genbank&log$=prottop&blast_rank=86&RID=4TYYNHNK01R"",""XP_024602507.1"")"
centrosomal protein of 135 kDa [Desmodus rotundus],Desmodus rotundus,2026,2026,99%,0.0,89.03,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024435738.1?report=genbank&log$=prottop&blast_rank=87&RID=4TYYNHNK01R"",""XP_024435738.1"")"
PREDICTED: centrosomal protein of 135 kDa [Miniopterus natalensis],Miniopterus natalensis,2026,2026,99%,0.0,88.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016062925.1?report=genbank&log$=prottop&blast_rank=88&RID=4TYYNHNK01R"",""XP_016062925.1"")"
centrosomal protein of 135 kDa isoform X1 [Phocoena sinus],Phocoena sinus,2026,2026,99%,0.0,89.38,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032489268.1?report=genbank&log$=prottop&blast_rank=89&RID=4TYYNHNK01R"",""XP_032489268.1"")"
centrosomal protein of 135 kDa isoform X1 [Physeter catodon],Physeter catodon,2025,2025,99%,0.0,89.64,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007116117.1?report=genbank&log$=prottop&blast_rank=90&RID=4TYYNHNK01R"",""XP_007116117.1"")"
PREDICTED: centrosomal protein of 135 kDa [Oryctolagus cuniculus],Oryctolagus cuniculus,2024,2024,100%,0.0,89.74,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017203029.1?report=genbank&log$=prottop&blast_rank=91&RID=4TYYNHNK01R"",""XP_017203029.1"")"
