Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
centrosomal protein of 135 kDa isoform X1 [Sapajus apella],Sapajus apella,1935,1935,100%,0.0,96.05,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032130152.1?report=genbank&log$=prottop&blast_rank=26&RID=4U0PF731016"",""XP_032130152.1"")"
centrosomal protein of 135 kDa isoform X1 [Cebus imitator],Cebus imitator,1931,1931,100%,0.0,95.96,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017395707.1?report=genbank&log$=prottop&blast_rank=27&RID=4U0PF731016"",""XP_017395707.1"")"
centrosomal protein of 135 kDa isoform X1 [Callithrix jacchus],Callithrix jacchus,1926,1926,98%,0.0,95.71,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008991570.1?report=genbank&log$=prottop&blast_rank=28&RID=4U0PF731016"",""XP_008991570.1"")"
centrosomal protein of 135 kDa [Aotus nancymaae],Aotus nancymaae,1920,1920,100%,0.0,95.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012296596.1?report=genbank&log$=prottop&blast_rank=29&RID=4U0PF731016"",""XP_012296596.1"")"
hypothetical protein EGM_14494 [Macaca fascicularis],Macaca fascicularis,1892,1892,100%,0.0,93.43,1141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EHH53793.1?report=genbank&log$=prottop&blast_rank=30&RID=4U0PF731016"",""EHH53793.1"")"
centrosomal protein of 135 kDa [Carlito syrichta],Carlito syrichta,1872,1872,100%,0.0,92.02,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008058514.1?report=genbank&log$=prottop&blast_rank=31&RID=4U0PF731016"",""XP_008058514.1"")"
PREDICTED: centrosomal protein of 135 kDa [Equus przewalskii],Equus przewalskii,1863,1863,98%,0.0,91.34,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008510991.1?report=genbank&log$=prottop&blast_rank=32&RID=4U0PF731016"",""XP_008510991.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Equus asinus],Equus asinus,1863,1863,98%,0.0,91.25,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014691286.1?report=genbank&log$=prottop&blast_rank=33&RID=4U0PF731016"",""XP_014691286.1"")"
centrosomal protein of 135 kDa isoform X2 [Equus caballus],Equus caballus,1862,1862,98%,0.0,91.25,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023493838.1?report=genbank&log$=prottop&blast_rank=34&RID=4U0PF731016"",""XP_023493838.1"")"
centrosomal protein of 135 kDa isoform X1 [Equus caballus],Equus caballus,1853,1853,98%,0.0,90.28,1151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023493835.1?report=genbank&log$=prottop&blast_rank=35&RID=4U0PF731016"",""XP_023493835.1"")"
PREDICTED: centrosomal protein of 135 kDa [Ursus maritimus],Ursus maritimus,1847,1847,100%,0.0,90.79,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008699712.1?report=genbank&log$=prottop&blast_rank=36&RID=4U0PF731016"",""XP_008699712.1"")"
centrosomal protein of 135 kDa [Tupaia chinensis],Tupaia chinensis,1843,1843,98%,0.0,90.45,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006167755.1?report=genbank&log$=prottop&blast_rank=37&RID=4U0PF731016"",""XP_006167755.1"")"
PREDICTED: centrosomal protein of 135 kDa [Odobenus rosmarus divergens],Odobenus rosmarus divergens,1843,1843,98%,0.0,90.80,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012423465.1?report=genbank&log$=prottop&blast_rank=38&RID=4U0PF731016"",""XP_012423465.1"")"
LOW QUALITY PROTEIN: centrosomal protein of 135 kDa [Halichoerus grypus],Halichoerus grypus,1842,1842,100%,0.0,90.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035976654.1?report=genbank&log$=prottop&blast_rank=39&RID=4U0PF731016"",""XP_035976654.1"")"
hypothetical protein PANDA_006550 [Ailuropoda melanoleuca],Ailuropoda melanoleuca,1842,1842,98%,0.0,90.80,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFB28072.1?report=genbank&log$=prottop&blast_rank=40&RID=4U0PF731016"",""EFB28072.1"")"
centrosomal protein of 135 kDa isoform X1 [Ailuropoda melanoleuca],Ailuropoda melanoleuca,1842,1842,98%,0.0,90.80,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034527656.1?report=genbank&log$=prottop&blast_rank=41&RID=4U0PF731016"",""XP_034527656.1"")"
centrosomal protein of 135 kDa [Phoca vitulina],Phoca vitulina,1841,1841,98%,0.0,90.80,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032256314.1?report=genbank&log$=prottop&blast_rank=42&RID=4U0PF731016"",""XP_032256314.1"")"
PREDICTED: centrosomal protein of 135 kDa [Panthera tigris altaica],Panthera tigris altaica,1840,1840,98%,0.0,90.54,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007075935.1?report=genbank&log$=prottop&blast_rank=43&RID=4U0PF731016"",""XP_007075935.1"")"
centrosomal protein of 135 kDa isoform X1 [Acinonyx jubatus],Acinonyx jubatus,1837,1837,98%,0.0,90.36,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026912950.1?report=genbank&log$=prottop&blast_rank=44&RID=4U0PF731016"",""XP_026912950.1"")"
centrosomal protein of 135 kDa [Neomonachus schauinslandi],Neomonachus schauinslandi,1836,1836,100%,0.0,90.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021557298.1?report=genbank&log$=prottop&blast_rank=45&RID=4U0PF731016"",""XP_021557298.1"")"
centrosomal protein of 135 kDa [Zalophus californianus],Zalophus californianus,1836,1836,98%,0.0,90.62,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027456230.1?report=genbank&log$=prottop&blast_rank=46&RID=4U0PF731016"",""XP_027456230.1"")"
centrosomal protein of 135 kDa isoform X1 [Pteropus alecto],Pteropus alecto,1835,1835,100%,0.0,90.18,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006922577.1?report=genbank&log$=prottop&blast_rank=47&RID=4U0PF731016"",""XP_006922577.1"")"
centrosomal protein of 135 kDa [Mirounga leonina],Mirounga leonina,1834,1834,98%,0.0,90.62,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034860826.1?report=genbank&log$=prottop&blast_rank=48&RID=4U0PF731016"",""XP_034860826.1"")"
centrosomal protein of 135 kDa isoform X1 [Felis catus],Felis catus,1834,1834,98%,0.0,90.27,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023108859.1?report=genbank&log$=prottop&blast_rank=49&RID=4U0PF731016"",""XP_023108859.1"")"
centrosomal protein of 135 kDa isoform X1 [Pteropus vampyrus],Pteropus vampyrus,1833,1833,100%,0.0,90.26,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011360921.1?report=genbank&log$=prottop&blast_rank=50&RID=4U0PF731016"",""XP_011360921.1"")"
centrosomal protein of 135 kDa isoform X1 [Canis lupus dingo],Canis lupus dingo,1833,1833,98%,0.0,90.54,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025291376.2?report=genbank&log$=prottop&blast_rank=51&RID=4U0PF731016"",""XP_025291376.2"")"
centrosomal protein of 135 kDa [Hyaena hyaena],Hyaena hyaena,1833,1833,98%,0.0,90.18,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_039104990.1?report=genbank&log$=prottop&blast_rank=52&RID=4U0PF731016"",""XP_039104990.1"")"
Centrosomal protein of 135 kDa [Pteropus alecto],Pteropus alecto,1833,1833,100%,0.0,90.18,1166,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ELK03683.1?report=genbank&log$=prottop&blast_rank=53&RID=4U0PF731016"",""ELK03683.1"")"
centrosomal protein of 135 kDa isoform X1 [Lynx canadensis],Lynx canadensis,1832,1832,98%,0.0,90.18,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030169694.1?report=genbank&log$=prottop&blast_rank=54&RID=4U0PF731016"",""XP_030169694.1"")"
CP135 protein [Crocuta crocuta],Crocuta crocuta,1832,1832,98%,0.0,90.09,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0883251.1?report=genbank&log$=prottop&blast_rank=55&RID=4U0PF731016"",""KAF0883251.1"")"
centrosomal protein of 135 kDa isoform X1 [Mustela erminea],Mustela erminea,1832,1832,98%,0.0,90.27,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032190248.1?report=genbank&log$=prottop&blast_rank=56&RID=4U0PF731016"",""XP_032190248.1"")"
centrosomal protein of 135 kDa isoform X1 [Canis lupus familiaris],Canis lupus familiaris,1832,1832,98%,0.0,90.45,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_038282802.1?report=genbank&log$=prottop&blast_rank=57&RID=4U0PF731016"",""XP_038282802.1"")"
centrosomal protein of 135 kDa [Puma concolor],Puma concolor,1832,1832,98%,0.0,90.18,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025777647.1?report=genbank&log$=prottop&blast_rank=58&RID=4U0PF731016"",""XP_025777647.1"")"
centrosomal protein of 135 kDa isoform X1 [Camelus dromedarius],Camelus dromedarius,1832,1832,98%,0.0,91.24,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010981366.1?report=genbank&log$=prottop&blast_rank=59&RID=4U0PF731016"",""XP_010981366.1"")"
centrosomal protein of 135 kDa [Lontra canadensis],Lontra canadensis,1831,1831,98%,0.0,90.18,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032707135.1?report=genbank&log$=prottop&blast_rank=60&RID=4U0PF731016"",""XP_032707135.1"")"
PREDICTED: centrosomal protein of 135 kDa [Camelus bactrianus],Camelus bactrianus,1831,1831,98%,0.0,91.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010964402.1?report=genbank&log$=prottop&blast_rank=61&RID=4U0PF731016"",""XP_010964402.1"")"
centrosomal protein of 135 kDa isoform X1 [Pteropus giganteus],Pteropus giganteus,1831,1831,100%,0.0,90.26,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_039701198.1?report=genbank&log$=prottop&blast_rank=62&RID=4U0PF731016"",""XP_039701198.1"")"
centrosomal protein of 135 kDa isoform X1 [Vulpes vulpes],Vulpes vulpes,1831,1831,98%,0.0,90.54,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025859365.1?report=genbank&log$=prottop&blast_rank=63&RID=4U0PF731016"",""XP_025859365.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Mustela putorius furo],Mustela putorius furo,1830,1830,100%,0.0,89.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004775550.1?report=genbank&log$=prottop&blast_rank=64&RID=4U0PF731016"",""XP_004775550.1"")"
unnamed protein product [Gulo gulo],Gulo gulo,1830,1830,100%,0.0,89.74,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/VCX42860.1?report=genbank&log$=prottop&blast_rank=65&RID=4U0PF731016"",""VCX42860.1"")"
centrosomal protein of 135 kDa isoform X1 [Vicugna pacos],Vicugna pacos,1826,1826,98%,0.0,90.97,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006198206.1?report=genbank&log$=prottop&blast_rank=66&RID=4U0PF731016"",""XP_006198206.1"")"
centrosomal protein of 135 kDa isoform X1 [Balaenoptera musculus],Balaenoptera musculus,1826,1826,98%,0.0,89.72,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036709916.1?report=genbank&log$=prottop&blast_rank=67&RID=4U0PF731016"",""XP_036709916.1"")"
centrosomal protein of 135 kDa [Microcebus murinus],Microcebus murinus,1826,1826,98%,0.0,90.10,1141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012613710.1?report=genbank&log$=prottop&blast_rank=68&RID=4U0PF731016"",""XP_012613710.1"")"
centrosomal protein of 135 kDa [Enhydra lutris kenyoni],Enhydra lutris kenyoni,1823,1823,100%,0.0,89.56,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022361573.1?report=genbank&log$=prottop&blast_rank=69&RID=4U0PF731016"",""XP_022361573.1"")"
centrosomal protein 135 [Molossus molossus],Molossus molossus,1823,1823,98%,0.0,89.55,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF6499455.1?report=genbank&log$=prottop&blast_rank=70&RID=4U0PF731016"",""KAF6499455.1"")"
PREDICTED: centrosomal protein of 135 kDa [Oryctolagus cuniculus],Oryctolagus cuniculus,1822,1822,98%,0.0,90.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017203029.1?report=genbank&log$=prottop&blast_rank=71&RID=4U0PF731016"",""XP_017203029.1"")"
centrosomal protein of 135 kDa isoform X1 [Rousettus aegyptiacus],Rousettus aegyptiacus,1819,1819,100%,0.0,89.56,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036083809.1?report=genbank&log$=prottop&blast_rank=72&RID=4U0PF731016"",""XP_036083809.1"")"
centrosomal protein of 135 kDa [Rhinolophus ferrumequinum],Rhinolophus ferrumequinum,1818,1818,99%,0.0,89.73,1138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032962638.1?report=genbank&log$=prottop&blast_rank=73&RID=4U0PF731016"",""XP_032962638.1"")"
centrosomal protein of 135 kDa isoform X2 [Macaca nemestrina],Macaca nemestrina,1817,1817,88%,0.0,98.31,1005,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011709011.1?report=genbank&log$=prottop&blast_rank=74&RID=4U0PF731016"",""XP_011709011.1"")"
centrosomal protein of 135 kDa [Callorhinus ursinus],Callorhinus ursinus,1815,1815,100%,0.0,90.53,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025743382.1?report=genbank&log$=prottop&blast_rank=75&RID=4U0PF731016"",""XP_025743382.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X2 [Macaca fascicularis],Macaca fascicularis,1815,1815,88%,0.0,98.21,1005,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005555303.1?report=genbank&log$=prottop&blast_rank=76&RID=4U0PF731016"",""XP_005555303.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X2 [Cercocebus atys],Cercocebus atys,1815,1815,92%,0.0,97.72,1051,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011928888.1?report=genbank&log$=prottop&blast_rank=77&RID=4U0PF731016"",""XP_011928888.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X3 [Cercocebus atys],Cercocebus atys,1811,1811,88%,0.0,98.01,1005,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011928889.1?report=genbank&log$=prottop&blast_rank=78&RID=4U0PF731016"",""XP_011928889.1"")"
centrosomal protein of 135 kDa isoform X1 [Delphinapterus leucas],Delphinapterus leucas,1808,1808,99%,0.0,89.73,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022419470.1?report=genbank&log$=prottop&blast_rank=79&RID=4U0PF731016"",""XP_022419470.1"")"
centrosomal protein of 135 kDa isoform X1 [Monodon monoceros],Monodon monoceros,1807,1807,99%,0.0,89.73,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029091811.1?report=genbank&log$=prottop&blast_rank=80&RID=4U0PF731016"",""XP_029091811.1"")"
centrosomal protein of 135 kDa isoform X1 [Fukomys damarensis],Fukomys damarensis,1807,1807,99%,0.0,89.81,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010638584.1?report=genbank&log$=prottop&blast_rank=81&RID=4U0PF731016"",""XP_010638584.1"")"
centrosomal protein of 135 kDa isoform X3 [Mustela erminea],Mustela erminea,1806,1806,97%,0.0,90.24,1114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032190251.1?report=genbank&log$=prottop&blast_rank=82&RID=4U0PF731016"",""XP_032190251.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Myotis davidii],Myotis davidii,1806,1806,99%,0.0,89.03,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006757858.1?report=genbank&log$=prottop&blast_rank=83&RID=4U0PF731016"",""XP_006757858.1"")"
PREDICTED: centrosomal protein of 135 kDa [Lipotes vexillifer],Lipotes vexillifer,1806,1806,98%,0.0,89.99,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007450322.1?report=genbank&log$=prottop&blast_rank=84&RID=4U0PF731016"",""XP_007450322.1"")"
centrosomal protein of 135 kDa [Talpa occidentalis],Talpa occidentalis,1803,1803,99%,0.0,88.76,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037385066.1?report=genbank&log$=prottop&blast_rank=85&RID=4U0PF731016"",""XP_037385066.1"")"
centrosomal protein of 135 kDa isoform X2 [Rousettus aegyptiacus],Rousettus aegyptiacus,1803,1803,100%,0.0,89.12,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036083810.1?report=genbank&log$=prottop&blast_rank=86&RID=4U0PF731016"",""XP_036083810.1"")"
centrosomal protein of 135 kDa isoform X1 [Orcinus orca],Orcinus orca,1802,1802,99%,0.0,89.55,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004268305.1?report=genbank&log$=prottop&blast_rank=87&RID=4U0PF731016"",""XP_004268305.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Myotis brandtii],Myotis brandtii,1801,1801,99%,0.0,89.03,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005877232.1?report=genbank&log$=prottop&blast_rank=88&RID=4U0PF731016"",""XP_005877232.1"")"
hypothetical protein DBR06_SOUSAS6810026 [Sousa chinensis],Sousa chinensis,1801,1801,99%,0.0,89.46,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TEA42125.1?report=genbank&log$=prottop&blast_rank=89&RID=4U0PF731016"",""TEA42125.1"")"
centrosomal protein of 135 kDa isoform X1 [Myotis lucifugus],Myotis lucifugus,1800,1800,99%,0.0,88.94,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023614066.1?report=genbank&log$=prottop&blast_rank=90&RID=4U0PF731016"",""XP_023614066.1"")"
centrosomal protein of 135 kDa isoform X1 [Neophocaena asiaeorientalis asiaeorientalis],Neophocaena asiaeorientalis asiaeorientalis,1799,1799,98%,0.0,89.63,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024602507.1?report=genbank&log$=prottop&blast_rank=91&RID=4U0PF731016"",""XP_024602507.1"")"
centrosomal protein of 135 kDa [Urocitellus parryii],Urocitellus parryii,1799,1799,100%,0.0,88.01,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026241906.1?report=genbank&log$=prottop&blast_rank=92&RID=4U0PF731016"",""XP_026241906.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X3 [Chinchilla lanigera],Chinchilla lanigera,1798,1798,98%,0.0,88.75,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013374011.1?report=genbank&log$=prottop&blast_rank=93&RID=4U0PF731016"",""XP_013374011.1"")"
