Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Macaca fascicularis],Macaca fascicularis,1402,1402,100%,0.0,98.16,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005555302.1?report=genbank&log$=prottop&blast_rank=11&RID=4U33DKUK013"",""XP_005555302.1"")"
PREDICTED: centrosomal protein of 135 kDa [Mandrillus leucophaeus],Mandrillus leucophaeus,1401,1401,100%,0.0,98.16,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011847897.1?report=genbank&log$=prottop&blast_rank=12&RID=4U33DKUK013"",""XP_011847897.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Equus asinus],Equus asinus,1401,1401,98%,0.0,91.25,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014691286.1?report=genbank&log$=prottop&blast_rank=13&RID=4U33DKUK013"",""XP_014691286.1"")"
centrosomal protein of 135 kDa [Rhinopithecus roxellana],Rhinopithecus roxellana,1400,1400,100%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010353537.1?report=genbank&log$=prottop&blast_rank=14&RID=4U33DKUK013"",""XP_010353537.1"")"
centrosomal protein of 135 kDa isoform X1 [Equus caballus],Equus caballus,1400,1400,98%,0.0,90.28,1151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023493835.1?report=genbank&log$=prottop&blast_rank=15&RID=4U33DKUK013"",""XP_023493835.1"")"
centrosomal protein of 135 kDa [Theropithecus gelada],Theropithecus gelada,1399,1399,100%,0.0,98.07,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025241370.1?report=genbank&log$=prottop&blast_rank=16&RID=4U33DKUK013"",""XP_025241370.1"")"
centrosomal protein of 135 kDa isoform X1 [Trachypithecus francoisi],Trachypithecus francoisi,1399,1399,100%,0.0,97.47,1146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033070506.1?report=genbank&log$=prottop&blast_rank=17&RID=4U33DKUK013"",""XP_033070506.1"")"
centrosomal protein of 135 kDa isoform X1 [Rousettus aegyptiacus],Rousettus aegyptiacus,1399,1399,100%,0.0,89.56,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036083809.1?report=genbank&log$=prottop&blast_rank=18&RID=4U33DKUK013"",""XP_036083809.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Cercocebus atys],Cercocebus atys,1398,1398,100%,0.0,97.81,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011928886.1?report=genbank&log$=prottop&blast_rank=19&RID=4U33DKUK013"",""XP_011928886.1"")"
centrosomal protein of 135 kDa [Chlorocebus sabaeus],Chlorocebus sabaeus,1398,1398,99%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007996841.2?report=genbank&log$=prottop&blast_rank=20&RID=4U33DKUK013"",""XP_007996841.2"")"
PREDICTED: centrosomal protein of 135 kDa [Colobus angolensis palliatus],Colobus angolensis palliatus,1398,1398,100%,0.0,97.89,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011792677.1?report=genbank&log$=prottop&blast_rank=21&RID=4U33DKUK013"",""XP_011792677.1"")"
centrosomal protein of 135 kDa isoform X2 [Trachypithecus francoisi],Trachypithecus francoisi,1398,1398,100%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033070507.1?report=genbank&log$=prottop&blast_rank=22&RID=4U33DKUK013"",""XP_033070507.1"")"
hypothetical protein PANDA_006550 [Ailuropoda melanoleuca],Ailuropoda melanoleuca,1398,1398,99%,0.0,90.69,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFB28072.1?report=genbank&log$=prottop&blast_rank=23&RID=4U33DKUK013"",""EFB28072.1"")"
centrosomal protein of 135 kDa isoform X1 [Piliocolobus tephrosceles],Piliocolobus tephrosceles,1397,1397,100%,0.0,97.47,1146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023047955.1?report=genbank&log$=prottop&blast_rank=24&RID=4U33DKUK013"",""XP_023047955.1"")"
centrosomal protein of 135 kDa isoform X1 [Ailuropoda melanoleuca],Ailuropoda melanoleuca,1397,1397,99%,0.0,90.69,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034527656.1?report=genbank&log$=prottop&blast_rank=25&RID=4U33DKUK013"",""XP_034527656.1"")"
centrosomal protein of 135 kDa isoform X2 [Piliocolobus tephrosceles],Piliocolobus tephrosceles,1397,1397,100%,0.0,97.98,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023047956.1?report=genbank&log$=prottop&blast_rank=26&RID=4U33DKUK013"",""XP_023047956.1"")"
LOW QUALITY PROTEIN: centrosomal protein of 135 kDa [Halichoerus grypus],Halichoerus grypus,1397,1397,100%,0.0,90.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035976654.1?report=genbank&log$=prottop&blast_rank=27&RID=4U33DKUK013"",""XP_035976654.1"")"
centrosomal protein 135 [Molossus molossus],Molossus molossus,1397,1397,99%,0.0,89.29,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF6499455.1?report=genbank&log$=prottop&blast_rank=28&RID=4U33DKUK013"",""KAF6499455.1"")"
centrosomal protein of 135 kDa [Homo sapiens],Homo sapiens,1396,1396,100%,0.0,100.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_079285.2?report=genbank&log$=prottop&blast_rank=29&RID=4U33DKUK013"",""NP_079285.2"")"
centrosomal protein of 135 kDa [Gorilla gorilla gorilla],Gorilla gorilla gorilla,1396,1396,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018881638.1?report=genbank&log$=prottop&blast_rank=30&RID=4U33DKUK013"",""XP_018881638.1"")"
centrosomal protein of 135 kDa [Phoca vitulina],Phoca vitulina,1396,1396,100%,0.0,90.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032256314.1?report=genbank&log$=prottop&blast_rank=31&RID=4U33DKUK013"",""XP_032256314.1"")"
TPA: centrosome protein Cep135 [Homo sapiens],Homo sapiens,1395,1395,100%,0.0,99.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/DAA05590.1?report=genbank&log$=prottop&blast_rank=32&RID=4U33DKUK013"",""DAA05590.1"")"
centrosomal protein of 135 kDa [Neomonachus schauinslandi],Neomonachus schauinslandi,1393,1393,100%,0.0,90.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021557298.1?report=genbank&log$=prottop&blast_rank=33&RID=4U33DKUK013"",""XP_021557298.1"")"
centrosomal protein of 135 kDa [Zalophus californianus],Zalophus californianus,1392,1392,100%,0.0,90.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_027456230.1?report=genbank&log$=prottop&blast_rank=34&RID=4U33DKUK013"",""XP_027456230.1"")"
centrosomal protein of 135 kDa isoform X1 [Pan troglodytes],Pan troglodytes,1392,1392,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016807193.1?report=genbank&log$=prottop&blast_rank=35&RID=4U33DKUK013"",""XP_016807193.1"")"
PREDICTED: centrosomal protein of 135 kDa [Rhinopithecus bieti],Rhinopithecus bieti,1392,1392,100%,0.0,97.28,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017704775.1?report=genbank&log$=prottop&blast_rank=36&RID=4U33DKUK013"",""XP_017704775.1"")"
centrosomal protein of 135 kDa [Pan paniscus],Pan paniscus,1392,1392,100%,0.0,99.39,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003806528.1?report=genbank&log$=prottop&blast_rank=37&RID=4U33DKUK013"",""XP_003806528.1"")"
PREDICTED: centrosomal protein of 135 kDa [Odobenus rosmarus divergens],Odobenus rosmarus divergens,1392,1392,100%,0.0,90.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012423465.1?report=genbank&log$=prottop&blast_rank=38&RID=4U33DKUK013"",""XP_012423465.1"")"
centrosomal protein of 135 kDa [Saimiri boliviensis boliviensis],Saimiri boliviensis boliviensis,1392,1392,100%,0.0,96.23,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_039324483.1?report=genbank&log$=prottop&blast_rank=39&RID=4U33DKUK013"",""XP_039324483.1"")"
centrosomal protein of 135 kDa [Mirounga leonina],Mirounga leonina,1389,1389,100%,0.0,90.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034860826.1?report=genbank&log$=prottop&blast_rank=40&RID=4U33DKUK013"",""XP_034860826.1"")"
centrosomal protein of 135 kDa [Hylobates moloch],Hylobates moloch,1388,1388,100%,0.0,97.72,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032007349.1?report=genbank&log$=prottop&blast_rank=41&RID=4U33DKUK013"",""XP_032007349.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Myotis davidii],Myotis davidii,1385,1385,99%,0.0,89.03,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006757858.1?report=genbank&log$=prottop&blast_rank=42&RID=4U33DKUK013"",""XP_006757858.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Myotis brandtii],Myotis brandtii,1385,1385,99%,0.0,89.03,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005877232.1?report=genbank&log$=prottop&blast_rank=43&RID=4U33DKUK013"",""XP_005877232.1"")"
centrosomal protein of 135 kDa [Nomascus leucogenys],Nomascus leucogenys,1384,1384,100%,0.0,98.07,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003268443.1?report=genbank&log$=prottop&blast_rank=44&RID=4U33DKUK013"",""XP_003268443.1"")"
PREDICTED: centrosomal protein of 135 kDa [Oryctolagus cuniculus],Oryctolagus cuniculus,1384,1384,98%,0.0,90.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017203029.1?report=genbank&log$=prottop&blast_rank=45&RID=4U33DKUK013"",""XP_017203029.1"")"
centrosomal protein of 135 kDa [Callorhinus ursinus],Callorhinus ursinus,1384,1384,100%,0.0,90.53,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025743382.1?report=genbank&log$=prottop&blast_rank=46&RID=4U33DKUK013"",""XP_025743382.1"")"
centrosomal protein of 135 kDa [Rhinolophus ferrumequinum],Rhinolophus ferrumequinum,1383,1383,99%,0.0,89.73,1138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032962638.1?report=genbank&log$=prottop&blast_rank=47&RID=4U33DKUK013"",""XP_032962638.1"")"
centrosomal protein of 135 kDa isoform X1 [Myotis lucifugus],Myotis lucifugus,1383,1383,99%,0.0,88.94,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023614066.1?report=genbank&log$=prottop&blast_rank=48&RID=4U33DKUK013"",""XP_023614066.1"")"
PREDICTED: centrosomal protein of 135 kDa [Orycteropus afer afer],Orycteropus afer afer,1383,1383,98%,0.0,88.12,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007944424.1?report=genbank&log$=prottop&blast_rank=49&RID=4U33DKUK013"",""XP_007944424.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Chinchilla lanigera],Chinchilla lanigera,1382,1382,98%,0.0,88.75,1188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013374009.1?report=genbank&log$=prottop&blast_rank=50&RID=4U33DKUK013"",""XP_013374009.1"")"
PREDICTED: centrosomal protein of 135 kDa [Panthera tigris altaica],Panthera tigris altaica,1382,1382,100%,0.0,90.35,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007075935.1?report=genbank&log$=prottop&blast_rank=51&RID=4U33DKUK013"",""XP_007075935.1"")"
centrosomal protein of 135 kDa isoform X2 [Rousettus aegyptiacus],Rousettus aegyptiacus,1381,1381,100%,0.0,89.12,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036083810.1?report=genbank&log$=prottop&blast_rank=52&RID=4U33DKUK013"",""XP_036083810.1"")"
centrosomal protein of 135 kDa [Artibeus jamaicensis],Artibeus jamaicensis,1381,1381,99%,0.0,88.32,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037018171.1?report=genbank&log$=prottop&blast_rank=53&RID=4U33DKUK013"",""XP_037018171.1"")"
centrosomal protein of 135 kDa [Puma concolor],Puma concolor,1380,1380,100%,0.0,90.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025777647.1?report=genbank&log$=prottop&blast_rank=54&RID=4U33DKUK013"",""XP_025777647.1"")"
centrosomal protein of 135 kDa isoform X1 [Mustela erminea],Mustela erminea,1380,1380,100%,0.0,90.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032190248.1?report=genbank&log$=prottop&blast_rank=55&RID=4U33DKUK013"",""XP_032190248.1"")"
centrosomal protein of 135 kDa [Hyaena hyaena],Hyaena hyaena,1380,1380,100%,0.0,89.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_039104990.1?report=genbank&log$=prottop&blast_rank=56&RID=4U33DKUK013"",""XP_039104990.1"")"
centrosomal protein of 135 kDa isoform X1 [Sapajus apella],Sapajus apella,1380,1380,100%,0.0,96.05,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032130152.1?report=genbank&log$=prottop&blast_rank=57&RID=4U33DKUK013"",""XP_032130152.1"")"
centrosomal protein of 135 kDa isoform X1 [Acinonyx jubatus],Acinonyx jubatus,1380,1380,100%,0.0,90.18,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026912950.1?report=genbank&log$=prottop&blast_rank=58&RID=4U33DKUK013"",""XP_026912950.1"")"
centrosomal protein of 135 kDa isoform X1 [Cebus imitator],Cebus imitator,1380,1380,100%,0.0,95.96,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017395707.1?report=genbank&log$=prottop&blast_rank=59&RID=4U33DKUK013"",""XP_017395707.1"")"
unnamed protein product [Gulo gulo],Gulo gulo,1380,1380,100%,0.0,89.74,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/VCX42860.1?report=genbank&log$=prottop&blast_rank=60&RID=4U33DKUK013"",""VCX42860.1"")"
centrosomal protein of 135 kDa [Sturnira hondurensis],Sturnira hondurensis,1380,1380,99%,0.0,87.97,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036890064.1?report=genbank&log$=prottop&blast_rank=61&RID=4U33DKUK013"",""XP_036890064.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X1 [Mustela putorius furo],Mustela putorius furo,1380,1380,100%,0.0,89.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004775550.1?report=genbank&log$=prottop&blast_rank=62&RID=4U33DKUK013"",""XP_004775550.1"")"
CP135 protein [Crocuta crocuta],Crocuta crocuta,1379,1379,100%,0.0,89.82,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0883251.1?report=genbank&log$=prottop&blast_rank=63&RID=4U33DKUK013"",""KAF0883251.1"")"
centrosomal protein of 135 kDa [Aotus nancymaae],Aotus nancymaae,1379,1379,100%,0.0,95.44,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012296596.1?report=genbank&log$=prottop&blast_rank=64&RID=4U33DKUK013"",""XP_012296596.1"")"
centrosomal protein of 135 kDa isoform X1 [Pipistrellus kuhlii],Pipistrellus kuhlii,1379,1379,99%,0.0,87.62,1141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036271622.1?report=genbank&log$=prottop&blast_rank=65&RID=4U33DKUK013"",""XP_036271622.1"")"
centrosomal protein of 135 kDa isoform X1 [Myotis myotis],Myotis myotis,1379,1379,99%,0.0,88.94,1138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036190484.1?report=genbank&log$=prottop&blast_rank=66&RID=4U33DKUK013"",""XP_036190484.1"")"
centrosomal protein of 135 kDa [Lontra canadensis],Lontra canadensis,1379,1379,100%,0.0,89.91,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032707135.1?report=genbank&log$=prottop&blast_rank=67&RID=4U33DKUK013"",""XP_032707135.1"")"
centrosomal protein of 135 kDa isoform X1 [Homo sapiens],Homo sapiens,1378,1378,100%,0.0,99.04,1129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006714118.1?report=genbank&log$=prottop&blast_rank=68&RID=4U33DKUK013"",""XP_006714118.1"")"
centrosomal protein of 135 kDa isoform X1 [Camelus dromedarius],Camelus dromedarius,1378,1378,99%,0.0,91.13,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010981366.1?report=genbank&log$=prottop&blast_rank=69&RID=4U33DKUK013"",""XP_010981366.1"")"
centrosomal protein of 135 kDa isoform X1 [Bubalus bubalis],Bubalus bubalis,1378,1378,99%,0.0,86.70,1150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025145815.1?report=genbank&log$=prottop&blast_rank=70&RID=4U33DKUK013"",""XP_025145815.1"")"
centrosomal protein of 135 kDa isoform X1 [Felis catus],Felis catus,1378,1378,100%,0.0,90.09,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023108859.1?report=genbank&log$=prottop&blast_rank=71&RID=4U33DKUK013"",""XP_023108859.1"")"
PREDICTED: centrosomal protein of 135 kDa [Camelus bactrianus],Camelus bactrianus,1377,1377,99%,0.0,91.04,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010964402.1?report=genbank&log$=prottop&blast_rank=72&RID=4U33DKUK013"",""XP_010964402.1"")"
centrosomal protein of 135 kDa isoform X1 [Lynx canadensis],Lynx canadensis,1376,1376,100%,0.0,90.00,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030169694.1?report=genbank&log$=prottop&blast_rank=73&RID=4U33DKUK013"",""XP_030169694.1"")"
centrosomal protein of 135 kDa [Choloepus didactylus],Choloepus didactylus,1376,1376,100%,0.0,88.33,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037685784.1?report=genbank&log$=prottop&blast_rank=74&RID=4U33DKUK013"",""XP_037685784.1"")"
centrosomal protein of 135 kDa [Enhydra lutris kenyoni],Enhydra lutris kenyoni,1376,1376,100%,0.0,89.56,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_022361573.1?report=genbank&log$=prottop&blast_rank=75&RID=4U33DKUK013"",""XP_022361573.1"")"
centrosomal protein of 135 kDa [Desmodus rotundus],Desmodus rotundus,1375,1375,99%,0.0,89.03,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024435738.1?report=genbank&log$=prottop&blast_rank=76&RID=4U33DKUK013"",""XP_024435738.1"")"
centrosomal protein of 135 kDa [Phyllostomus discolor],Phyllostomus discolor,1375,1375,99%,0.0,88.15,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028362407.1?report=genbank&log$=prottop&blast_rank=77&RID=4U33DKUK013"",""XP_028362407.1"")"
centrosomal protein of 135 kDa isoform X1 [Fukomys damarensis],Fukomys damarensis,1375,1375,99%,0.0,89.89,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010638584.1?report=genbank&log$=prottop&blast_rank=78&RID=4U33DKUK013"",""XP_010638584.1"")"
centrosomal protein of 135 kDa isoform X2 [Loxodonta africana],Loxodonta africana,1374,1374,98%,0.0,88.21,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003415936.1?report=genbank&log$=prottop&blast_rank=79&RID=4U33DKUK013"",""XP_003415936.1"")"
centrosomal protein of 135 kDa [Odocoileus virginianus texanus],Odocoileus virginianus texanus,1374,1374,99%,0.0,87.80,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020747817.1?report=genbank&log$=prottop&blast_rank=80&RID=4U33DKUK013"",""XP_020747817.1"")"
centrosomal protein of 135 kDa [Talpa occidentalis],Talpa occidentalis,1373,1373,99%,0.0,88.76,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_037385066.1?report=genbank&log$=prottop&blast_rank=81&RID=4U33DKUK013"",""XP_037385066.1"")"
centrosomal protein of 135 kDa isoform X1 [Canis lupus dingo],Canis lupus dingo,1373,1373,100%,0.0,90.35,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025291376.2?report=genbank&log$=prottop&blast_rank=82&RID=4U33DKUK013"",""XP_025291376.2"")"
centrosomal protein of 135 kDa isoform X1 [Vicugna pacos],Vicugna pacos,1372,1372,99%,0.0,90.87,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006198206.1?report=genbank&log$=prottop&blast_rank=83&RID=4U33DKUK013"",""XP_006198206.1"")"
centrosomal protein of 135 kDa isoform X1 [Canis lupus familiaris],Canis lupus familiaris,1370,1370,100%,0.0,90.26,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_038282802.1?report=genbank&log$=prottop&blast_rank=84&RID=4U33DKUK013"",""XP_038282802.1"")"
centrosomal protein of 135 kDa isoform X1 [Vulpes vulpes],Vulpes vulpes,1370,1370,100%,0.0,90.35,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025859365.1?report=genbank&log$=prottop&blast_rank=85&RID=4U33DKUK013"",""XP_025859365.1"")"
centrosomal protein of 135 kDa [Carlito syrichta],Carlito syrichta,1369,1369,100%,0.0,92.02,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008058514.1?report=genbank&log$=prottop&blast_rank=86&RID=4U33DKUK013"",""XP_008058514.1"")"
centrosomal protein of 135 kDa isoform X1 [Loxodonta africana],Loxodonta africana,1369,1369,98%,0.0,86.74,1159,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023410842.1?report=genbank&log$=prottop&blast_rank=87&RID=4U33DKUK013"",""XP_023410842.1"")"
centrosomal protein of 135 kDa isoform X1 [Balaenoptera musculus],Balaenoptera musculus,1369,1369,99%,0.0,89.55,1148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_036709916.1?report=genbank&log$=prottop&blast_rank=88&RID=4U33DKUK013"",""XP_036709916.1"")"
centrosomal protein of 135 kDa isoform X1 [Callithrix jacchus],Callithrix jacchus,1369,1369,100%,0.0,95.61,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008991570.1?report=genbank&log$=prottop&blast_rank=89&RID=4U33DKUK013"",""XP_008991570.1"")"
centrosomal protein of 135 kDa isoform X2 [Bubalus bubalis],Bubalus bubalis,1368,1368,99%,0.0,88.50,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025145816.1?report=genbank&log$=prottop&blast_rank=90&RID=4U33DKUK013"",""XP_025145816.1"")"
centrosomal protein of 135 kDa [Tupaia chinensis],Tupaia chinensis,1368,1368,100%,0.0,90.26,1140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006167755.1?report=genbank&log$=prottop&blast_rank=91&RID=4U33DKUK013"",""XP_006167755.1"")"
PREDICTED: centrosomal protein of 135 kDa [Bison bison bison],Bison bison bison,1367,1367,99%,0.0,88.32,1139,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_010857967.1?report=genbank&log$=prottop&blast_rank=92&RID=4U33DKUK013"",""XP_010857967.1"")"
PREDICTED: centrosomal protein of 135 kDa isoform X2 [Chinchilla lanigera],Chinchilla lanigera,1367,1367,98%,0.0,88.30,1183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013374010.1?report=genbank&log$=prottop&blast_rank=93&RID=4U33DKUK013"",""XP_013374010.1"")"
